Id,Indikator,Penghayatan tepat sesuai dengan usianya,"Immature, tidak dapat menghayati perkembangan dunianya, fiksasi emosi pada usia yang sama dengan figur yang digambar atau mengalami regresi",Penghayatan tepat sesuai dengan usianya,"Pengahyatan kehidupan yang melebihi usianya, identifikasi pada orang tua","Kelelahan emosional, kurang semangat dan vitalitas lemah",Ada hambatan kurang dorongan/motif. Merasa ada pengurangan energi/vitalitas,Kemungkinan scizoprenia dini,"Merasa ada himpitan, menahan sesuatu kurang tegas, mempertahankan keterbatasan aktivitas, kontrol emosi kaku","Kecenderungan ekshibisionis, merasa mampu diterima secara sosial, keter-gantungan sosial","Depresif, tidak mengakui kenyataan, tertekan secraa neurotis, kurang dorongan berprestasi",Normal,Menunjukkan kekaburan (confuse) di dalam mengidentifikasikan dirinya. Individu mempunyai sifat dependent yang kuat sekali terhadap orang tua yang berlawanan jenis seksenya,Kepuasan/kemantapan pada diri sendiri,Tendensi narsistis,Tidak puas atau tidak mantap pada diri sendiri,Perasaan sedih /tertekan,Bersemangat dan motivasi berprestasi,"Deskripsi diri yang kuat, kalau berlebihan=agresif",Deskripsi diri yang loyo,Terikat aturan dalam menyatakan diri,"Keterbelakangan mental, primitive cultural origin, scizoprenia",Pasrah dan rela merasa dikuasai orang lain,"Depersonalisasi , merasa dikekang oelh kekautan lain","Kurang kuat pegangan, kurang mantap, berfantasi untuk nampak kuat. Mungkin takabur atau tak mau tahu, mungkin optimis terhadap kerjanya, memandang rendah terhadap orang lain, tendensi kurang yakin akan dirinya","Kemauan cukup tinggi, potensi anak cukup besar, antusias sekali, rasio baik (kadang-kadang sampai kelewat batas)","Memiliki adaptasi yang cukup baik, bersifat egosentris, insecure dan rigid, berusaha kontrol secara cermat","Perasaan insecure dan tak pasti, berpikir pada hal-hal konkrit/ berpijak pada realita. Kebutuhan akan kepastian/depresif, kurang usaha, mudah menyerah, di dominasi oleh asadar, kebutuhan keseimbangan, kontrol, menunjukkan keseimbangan, ketenangan kestabilan (secara demonstratif).","n Kontrol emosionil, berusaha keras untuk sukses, orientasi lingkungan/dunia luar, ekstrofert, orientasi masa yang akan datang","Negativisme pada diri sendiri, agresif, memberontak","Dikuasai emosi, menekankan masa yang lalu, tendensi impulsif, self oriented, depresif tapi banyak frustasi, introfert, bayak dikendalikan ketaksadaran","Dikuasai emosi, menekankan masa lalu, tendensi impulsif, selforiented, intro-vert, banyak dikendalikan ketidaksa-daran, depresif",,Penyesuaian diri baik,"Kurang berani tampil dan menyatakan diri, cemas, insecure, ragu, takut, tidak pasti, kontrol yang rigid yang didasari oleh rasa tertekan dan kurang mampu berkarya, depresif, kurang mampu dan kurang gairah, intelektual dan introversive, spirituil","Penuntut, menguasai, menentang keku-asaan, dorongan bermusuhan, yakin diri, anxiety, tegang, kerusakan otak organis, manic","Ada hambatan berhubungan dengan lingkungan, biasa nampak pada tendebsi skizoid","Tak stabil, impulsif, mudah frustasi, histeris atao siklotomik","Ketakutan, tidak aman, tidak pasti",Tendensi skizoid alkoholik,"Kecemasan, kontrol motorik, rendah, kurang dapat mencapai keseimbangan","Perasaan tak aman, ingin diakui kelompoknya","Tegangan yang muncul, cemas, mungkin kerusakan otak","Adalah hal biasa untuk anak kecil, anxiety neurotics, psikotis","anxiety, tidak tetap, insecure","Keteraturan dalam berpikir, kontak de-ngan realitas yang baik","Tendensi hambatan dalam hubungan sosial, neourotis","Ada kemungkinan gangguan organis (misalnya, orang sering sakit, kerusakan otak, kemunduran, tendensi hipokondriasis, intelegensi kurang, pikirannya melayang (over) pada paranoid, terlalu membanggakan intelek, penekanan pada fantasi (pada anak-anak) aspirasi intelektuil (mungkin disertai orandiosity), kurang masak dalam instropeksi atau fantasi, simptom-simptom pada kepala",Tendensi aspirasi lebih besar dari pada kemampuan,"Konflik dalam hubungan manusiawi, mungkin ada kesulitan bicara","Kesadaran pribadi , keraguan shy",Opposite sex regarded as smarter or as possesing greater social authority,Organicity,Identifikasi feminin berhubungan dengan narcisistik dan obsesif kompulasif,Merasa kurang jantan,"infantil dan kemunduran dorongan seks, sensuaitas kebutuhan seksualitas"
1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
